product_id,product_name,category,brand,price,created_date,load_type
,Nulla Item,Grocery,"Saran, Karnik and Chakraborty",3175.42,2026-05-05,DELTA
PRODD202605050002,Officia Item,Home,Hegde and Sons,-100.0,2026-05-05,DELTA
PRODD202605050004,Ratione Item,Sports,Randhawa-Krish,2403.36,2026-05-05,DELTA
PRODD202605050004,Mollitia Item,Grocery,"Nath, Sem and Baral",1780.52,2026-05-05,DELTA
PRODD202605050005,Suscipit Item,Home,Contractor LLC,948.15,2026-05-05,DELTA
PRODD202605050006,Veritatis Item,Sports,Kibe LLC,2862.2,2026-05-05,DELTA
PRODD202605050007,Enim Item,Home,Sangha and Sons,3231.67,2026-05-05,DELTA
PRODD202605050008,Similique Item,Beauty,Iyer Ltd,257.7,2026-05-05,DELTA
PRODD202605050009,Iste Item,Electronics,Gour-Dasgupta,680.0,2026-05-05,DELTA
PRODD202605050010,Excepturi Item,Home,Hayer-Khatri,1618.5,2026-05-05,DELTA
PRODD202605050011,Maxime Item,Fashion,Chakrabarti-Ghose,4115.73,2026-05-05,DELTA
PRODD202605050012,Ad Item,Grocery,Sura-Mukherjee,4416.6,2026-05-05,DELTA
PRODD202605050013,Sint Item,Electronics,Biswas and Sons,3636.02,2026-05-05,DELTA
PRODD202605050014,Tempore Item,Electronics,"Sandal, Agate and Rai",3476.84,2026-05-05,DELTA
PRODD202605050015,Quae Item,Sports,Wali PLC,2881.95,2026-05-05,DELTA
PRODD202605050016,Odio Item,Grocery,Vaidya Group,4298.46,2026-05-05,DELTA
PRODD202605050017,Aliquid Item,Fashion,Krishnan LLC,1844.57,2026-05-05,DELTA
PRODD202605050018,Natus Item,Fashion,Narang-Kaul,4533.1,2026-05-05,DELTA
PRODD202605050019,Cumque Item,Beauty,"Bedi, Singhal and Rao",2785.0,2026-05-05,DELTA
PRODD202605050020,Tempore Item,Fashion,"Bhakta, Sridhar and Balan",2921.35,2026-05-05,DELTA
PRODD202605050021,Accusantium Item,Fashion,"Rajan, Baria and Sarin",2184.9,2026-05-05,DELTA
PRODD202605050022,Omnis Item,Electronics,Lalla-Kari,2474.51,2026-05-05,DELTA
PRODD202605050023,Temporibus Item,Fashion,Kara-Mall,1888.41,2026-05-05,DELTA
PRODD202605050024,Maiores Item,Sports,"Tailor, Bobal and Ray",284.16,2026-05-05,DELTA
PRODD202605050025,Voluptates Item,Electronics,"Chowdhury, Patil and Sandal",4419.91,2026-05-05,DELTA
PRODD202605050026,Enim Item,Fashion,Ramachandran Inc,4832.88,2026-05-05,DELTA
PRODD202605050027,Nemo Item,Grocery,"Bumb, Badal and Brar",3201.71,2026-05-05,DELTA
PRODD202605050028,Exercitationem Item,Beauty,"Gade, Kala and Boase",2365.42,2026-05-05,DELTA
PRODD202605050029,Ducimus Item,Electronics,Bains and Sons,4599.36,2026-05-05,DELTA
PRODD202605050030,Natus Item,Home,Dutta-Sane,3994.05,2026-05-05,DELTA
PRODD202605050031,Provident Item,Grocery,Sastry-Karnik,3209.99,2026-05-05,DELTA
PRODD202605050032,Animi Item,Fashion,"Chadha, Roy and Basak",1256.03,2026-05-05,DELTA
PRODD202605050033,Eius Item,Beauty,Balakrishnan-Johal,3259.27,2026-05-05,DELTA
PRODD202605050034,Fugit Item,Beauty,Bassi Group,4001.83,2026-05-05,DELTA
PRODD202605050035,Dignissimos Item,Home,"Oza, Vyas and Andra",375.61,2026-05-05,DELTA
PRODD202605050036,Harum Item,Grocery,Manne PLC,1191.32,2026-05-05,DELTA
PRODD202605050037,Iure Item,Grocery,Bose Ltd,2832.15,2026-05-05,DELTA
PRODD202605050038,Non Item,Fashion,"Kapoor, Dutta and Bora",4390.99,2026-05-05,DELTA
PRODD202605050039,At Item,Fashion,Koshy-Purohit,1779.34,2026-05-05,DELTA
PRODD202605050040,Possimus Item,Beauty,"Pal, Wable and Seth",256.25,2026-05-05,DELTA
PRODD202605050041,Eveniet Item,Beauty,Lalla Group,4608.82,2026-05-05,DELTA
PRODD202605050042,Minus Item,Home,Sangha-Rastogi,4959.13,2026-05-05,DELTA
PRODD202605050043,Quia Item,Sports,Johal Inc,2786.69,2026-05-05,DELTA
PRODD202605050044,Alias Item,Home,"Sura, Joshi and Sodhi",739.77,2026-05-05,DELTA
PRODD202605050045,Accusantium Item,Grocery,Tiwari Group,4360.19,2026-05-05,DELTA
PRODD202605050046,Possimus Item,Home,Sankaran-Luthra,1664.82,2026-05-05,DELTA
PRODD202605050047,Eveniet Item,Sports,"Om, Badal and Vohra",2688.45,2026-05-05,DELTA
PRODD202605050048,Quas Item,Electronics,Prabhu Ltd,4299.47,2026-05-05,DELTA
PRODD202605050049,Odio Item,Fashion,Mandal LLC,3441.92,2026-05-05,DELTA
PRODD202605050050,Labore Item,Home,Kulkarni-Gade,2714.53,2026-05-05,DELTA
PRODD202605050051,Quos Item,Fashion,Pillai Ltd,1053.96,2026-05-05,DELTA
PRODD202605050052,Quam Item,Fashion,"Srinivas, Kumar and Gera",4117.7,2026-05-05,DELTA
PRODD202605050053,Consequatur Item,Sports,Lata and Sons,1809.59,2026-05-05,DELTA
PRODD202605050054,Quisquam Item,Beauty,Pall LLC,1706.75,2026-05-05,DELTA
PRODD202605050055,Vitae Item,Home,Lalla-Vaidya,4366.0,2026-05-05,DELTA
PRODD202605050056,Rerum Item,Fashion,"Kata, Ahuja and Dar",4075.33,2026-05-05,DELTA
PRODD202605050057,Quasi Item,Beauty,Bawa-Wason,1641.84,2026-05-05,DELTA
PRODD202605050058,Aliquam Item,Grocery,"Sidhu, Pillai and Kannan",4383.84,2026-05-05,DELTA
PRODD202605050059,Rem Item,Fashion,Patel Group,1668.71,2026-05-05,DELTA
PRODD202605050060,Odio Item,Sports,Andra-Balakrishnan,4668.33,2026-05-05,DELTA
PRODD202605050061,Voluptatibus Item,Fashion,Golla-Srinivas,4189.54,2026-05-05,DELTA
PRODD202605050062,Animi Item,Grocery,"Varma, Khatri and Sabharwal",1100.7,2026-05-05,DELTA
PRODD202605050063,Iusto Item,Sports,Vora-Mital,2681.09,2026-05-05,DELTA
PRODD202605050064,Suscipit Item,Grocery,Kalita PLC,2925.87,2026-05-05,DELTA
PRODD202605050065,Tenetur Item,Home,Peri and Sons,1472.61,2026-05-05,DELTA
PRODD202605050066,Neque Item,Sports,Krishnamurthy Group,1331.29,2026-05-05,DELTA
PRODD202605050067,Suscipit Item,Grocery,Ram Group,1577.62,2026-05-05,DELTA
PRODD202605050068,Provident Item,Beauty,Kurian Group,1630.85,2026-05-05,DELTA
PRODD202605050069,Totam Item,Sports,"Bhatia, Padmanabhan and Mukherjee",4344.37,2026-05-05,DELTA
PRODD202605050070,Explicabo Item,Sports,Deep-Garg,4060.45,2026-05-05,DELTA
PRODD202605050071,Maxime Item,Beauty,"Grewal, Lala and Chokshi",3592.71,2026-05-05,DELTA
PRODD202605050072,Illo Item,Sports,"Ahuja, Sem and Lad",1157.76,2026-05-05,DELTA
PRODD202605050073,Itaque Item,Electronics,"Ghose, Chatterjee and Toor",656.97,2026-05-05,DELTA
PRODD202605050074,Rem Item,Beauty,Chaudhari Ltd,4843.65,2026-05-05,DELTA
PRODD202605050075,Animi Item,Fashion,Verma-Srivastava,3099.12,2026-05-05,DELTA
PRODD202605050076,Molestias Item,Grocery,"Ratta, Kurian and Rai",1211.71,2026-05-05,DELTA
PRODD202605050077,At Item,Electronics,"Mammen, Butala and Rajagopalan",4296.25,2026-05-05,DELTA
PRODD202605050078,Iste Item,Home,"Tara, Bhatnagar and Lad",4322.75,2026-05-05,DELTA
PRODD202605050079,Corporis Item,Grocery,"Tara, Sethi and Muni",1242.74,2026-05-05,DELTA
PRODD202605050080,Velit Item,Home,"Dani, Balan and Narain",2823.01,2026-05-05,DELTA
PRODD202605050081,Natus Item,Electronics,Hari-Dayal,3977.23,2026-05-05,DELTA
PRODD202605050082,Neque Item,Fashion,Malhotra Group,3290.92,2026-05-05,DELTA
PRODD202605050083,Esse Item,Fashion,Gole LLC,703.23,2026-05-05,DELTA
PRODD202605050084,Vero Item,Grocery,"Tailor, Sachdeva and Nazareth",3697.57,2026-05-05,DELTA
PRODD202605050085,Eveniet Item,Home,Srivastava-Rajagopal,3019.76,2026-05-05,DELTA
PRODD202605050086,Nihil Item,Sports,Sharma-Kala,1346.43,2026-05-05,DELTA
PRODD202605050087,Nobis Item,Electronics,Kanda and Sons,572.79,2026-05-05,DELTA
PRODD202605050088,Consequatur Item,Beauty,Ganesan LLC,4429.2,2026-05-05,DELTA
PRODD202605050089,Iste Item,Beauty,"Sanghvi, Butala and Parmar",3938.86,2026-05-05,DELTA
PRODD202605050090,Harum Item,Beauty,Tripathi-Misra,2926.94,2026-05-05,DELTA
PRODD202605050091,Fuga Item,Home,"Chaudhuri, Pall and Bhatti",1433.5,2026-05-05,DELTA
PRODD202605050092,Sapiente Item,Home,"Roy, Varghese and Jani",4499.11,2026-05-05,DELTA
PRODD202605050093,Voluptas Item,Sports,Srivastava Ltd,2715.27,2026-05-05,DELTA
PRODD202605050094,Nihil Item,Beauty,Walia PLC,3829.2,2026-05-05,DELTA
PRODD202605050095,Suscipit Item,Electronics,Vaidya and Sons,175.71,2026-05-05,DELTA
PRODD202605050096,Est Item,Grocery,Choudhary-Bala,4777.95,2026-05-05,DELTA
PRODD202605050097,Minima Item,Sports,"Sahota, Apte and Gala",4726.57,2026-05-05,DELTA
PRODD202605050098,Eius Item,Sports,Upadhyay Inc,1054.14,2026-05-05,DELTA
PRODD202605050099,Harum Item,Home,Korpal-Doshi,1267.53,2026-05-05,DELTA
PRODD202605050100,Porro Item,Beauty,Dave LLC,3680.44,2026-05-05,DELTA
