product_id,product_name,category,brand,price,created_date,load_type
,Alias Item,Sports,Sethi Group,601.09,2026-05-01,FULL
PROD00002,Enim Item,Sports,Dube Inc,-100.0,2026-05-01,FULL
PROD00004,Maxime Item,Fashion,"Rout, Mohan and Venkataraman",740.71,2026-05-01,FULL
PROD00004,Libero Item,Electronics,Bhatia Group,3399.66,2026-05-01,FULL
PROD00005,Explicabo Item,Beauty,"Shanker, Brahmbhatt and Gulati",480.35,2026-05-01,FULL
PROD00006,Facere Item,Home,Palla Ltd,207.32,2026-05-01,FULL
PROD00007,Ullam Item,Electronics,Mahal Inc,1132.26,2026-05-01,FULL
PROD00008,Ipsum Item,Beauty,Bora PLC,3029.99,2026-05-01,FULL
PROD00009,Consequuntur Item,Beauty,Raju Inc,1034.25,2026-05-01,FULL
PROD00010,Possimus Item,Sports,Agate Inc,3521.56,2026-05-01,FULL
PROD00011,Harum Item,Home,"Parmar, Modi and Chopra",1141.18,2026-05-01,FULL
PROD00012,Deleniti Item,Beauty,"Handa, Krishna and Toor",1427.04,2026-05-01,FULL
PROD00013,Corporis Item,Electronics,Mane Ltd,3806.1,2026-05-01,FULL
PROD00014,Itaque Item,Fashion,Nadkarni LLC,3505.79,2026-05-01,FULL
PROD00015,Expedita Item,Grocery,"Rajan, Dhingra and Naidu",1425.46,2026-05-01,FULL
PROD00016,Magni Item,Fashion,Brar-Magar,4788.2,2026-05-01,FULL
PROD00017,Fugiat Item,Grocery,Dugal Ltd,555.94,2026-05-01,FULL
PROD00018,Voluptate Item,Home,"Sehgal, Bhat and Bhatnagar",528.75,2026-05-01,FULL
PROD00019,Aspernatur Item,Grocery,"Halder, Dayal and Dara",3038.44,2026-05-01,FULL
PROD00020,Iusto Item,Electronics,Kumer Inc,3662.17,2026-05-01,FULL
PROD00021,Praesentium Item,Beauty,Choudhary-Choudhry,667.89,2026-05-01,FULL
PROD00022,Consequatur Item,Home,Varma-Kaur,440.06,2026-05-01,FULL
PROD00023,Dolore Item,Grocery,Barad-Ravi,4155.55,2026-05-01,FULL
PROD00024,Laboriosam Item,Beauty,Sabharwal Inc,4432.99,2026-05-01,FULL
PROD00025,Delectus Item,Grocery,Rama Group,2907.89,2026-05-01,FULL
PROD00026,Recusandae Item,Sports,Varty-Chakrabarti,394.3,2026-05-01,FULL
PROD00027,Voluptates Item,Sports,"Bhasin, Agarwal and Bose",1178.1,2026-05-01,FULL
PROD00028,At Item,Grocery,Johal and Sons,4926.85,2026-05-01,FULL
PROD00029,Voluptatem Item,Fashion,Das Group,4339.09,2026-05-01,FULL
PROD00030,Odit Item,Home,"Raj, Nazareth and Pillay",1425.97,2026-05-01,FULL
PROD00031,Sunt Item,Sports,Shetty-Korpal,4178.85,2026-05-01,FULL
PROD00032,Ea Item,Fashion,Handa Group,1882.4,2026-05-01,FULL
PROD00033,Quae Item,Fashion,Chaudhary-Memon,3367.37,2026-05-01,FULL
PROD00034,Excepturi Item,Sports,Manda-Ramaswamy,4686.44,2026-05-01,FULL
PROD00035,Dolores Item,Sports,Tiwari Inc,403.44,2026-05-01,FULL
PROD00036,Placeat Item,Sports,Bhalla-Murthy,897.14,2026-05-01,FULL
PROD00037,Eligendi Item,Sports,"Arya, Oommen and Pillai",1261.81,2026-05-01,FULL
PROD00038,Ab Item,Home,"Madan, Edwin and Vohra",1928.3,2026-05-01,FULL
PROD00039,Temporibus Item,Sports,Sarin PLC,3456.4,2026-05-01,FULL
PROD00040,Eveniet Item,Fashion,Dua-Narula,3438.84,2026-05-01,FULL
PROD00041,Occaecati Item,Electronics,Gola-Chada,1183.79,2026-05-01,FULL
PROD00042,Alias Item,Electronics,"Thaker, Swaminathan and Goyal",4034.98,2026-05-01,FULL
PROD00043,Omnis Item,Home,Das-Bedi,1375.32,2026-05-01,FULL
PROD00044,Minima Item,Fashion,"Buch, Palla and Sharma",4570.02,2026-05-01,FULL
PROD00045,Rem Item,Beauty,"Chad, Prakash and Nori",4388.02,2026-05-01,FULL
PROD00046,Labore Item,Grocery,Muni PLC,1102.5,2026-05-01,FULL
PROD00047,Magnam Item,Home,"Pillai, Ganesh and Samra",2008.38,2026-05-01,FULL
PROD00048,Facere Item,Sports,Nadkarni and Sons,2321.32,2026-05-01,FULL
PROD00049,Deserunt Item,Grocery,Sule and Sons,741.17,2026-05-01,FULL
