order_id,customer_id,product_id,store_id,quantity,unit_price,discount_amount,tax_amount,sale_amount,sale_date,payment_method,load_type,coupon_code
ORD202605030000001,,PROD00191,STORE0066,5,845.77,127.16,211.44,4313.13,2026-05-03,NETBANKING,DELTA,
ORD202605030000002,CUST003644,PROD00555,STORE0099,4,659.78,98.99,131.96,-500.0,2026-05-03,CARD,DELTA,
ORD202605030000003,CUST000760,PROD00994,STORE0081,0,1689.51,96.18,84.48,1677.81,2026-05-03,UPI,DELTA,
ORD202605030000004,CUST004113,PROD00242,STORE0063,4,4082.39,118.72,816.48,17027.32,2026-06-14,CARD,DELTA,
ORD202605030000006,CUST003914,PROD00966,STORE0041,3,4696.79,15.09,704.52,14779.8,2026-05-03,CARD,DELTA,
ORD202605030000006,CUST000481,PROD00283,STORE0055,4,4212.48,174.87,842.5,17517.55,2026-05-03,CASH,DELTA,
ORD202605030000007,CUST000642,INVALID_PRODUCT,STORE0029,1,1466.55,68.41,73.33,1471.47,2026-05-03,NETBANKING,DELTA,
ORD202605030000008,CUST003225,PROD00730,STORE0014,3,1685.84,26.4,252.88,5284.0,2026-05-03,CARD,DELTA,
ORD202605030000009,CUST001015,PROD00988,STORE0088,2,576.46,162.4,57.65,1048.17,2026-05-03,NETBANKING,DELTA,
ORD202605030000010,CUST000839,PROD00026,STORE0055,2,1657.1,51.78,165.71,3428.13,2026-05-03,UPI,DELTA,
ORD202605030000011,CUST003080,PROD00583,STORE0038,3,1564.96,152.42,234.74,4777.2,2026-05-03,UPI,DELTA,
ORD202605030000012,CUST001597,PROD00448,STORE0035,1,2730.62,163.86,136.53,2703.29,2026-05-03,NETBANKING,DELTA,
ORD202605030000013,CUST002387,PROD00343,STORE0100,1,4144.58,34.26,207.23,4317.55,2026-05-03,CASH,DELTA,
ORD202605030000014,CUST003635,PROD00625,STORE0023,4,1707.22,35.36,341.44,7134.96,2026-05-03,NETBANKING,DELTA,
ORD202605030000015,CUST003996,PROD00178,STORE0045,1,1420.93,0.43,71.05,1491.55,2026-05-03,UPI,DELTA,
ORD202605030000016,CUST000173,PROD00919,STORE0041,4,596.08,132.65,119.22,2370.89,2026-05-03,CASH,DELTA,
ORD202605030000017,CUST000652,PROD00184,STORE0078,5,3996.67,101.28,999.17,20881.24,2026-05-03,UPI,DELTA,
ORD202605030000018,CUST002734,PROD00394,STORE0066,4,4738.17,116.95,947.63,19783.36,2026-05-03,CASH,DELTA,
ORD202605030000019,CUST000130,PROD00364,STORE0081,3,4300.32,175.35,645.05,13370.66,2026-05-03,CASH,DELTA,
ORD202605030000020,CUST004033,PROD00783,STORE0088,2,1705.99,181.67,170.6,3400.91,2026-05-03,NETBANKING,DELTA,
ORD202605030000021,CUST001817,PROD00543,STORE0021,3,933.73,90.84,140.06,2850.41,2026-05-03,UPI,DELTA,
ORD202605030000022,CUST004536,PROD00672,STORE0037,4,76.51,135.04,15.3,186.3,2026-05-03,CASH,DELTA,
ORD202605030000023,CUST002065,PROD00127,STORE0027,5,1453.52,199.06,363.38,7431.92,2026-05-03,UPI,DELTA,
ORD202605030000024,CUST003699,PROD00860,STORE0031,4,140.13,58.41,28.03,530.14,2026-05-03,NETBANKING,DELTA,
ORD202605030000025,CUST001539,PROD00542,STORE0020,3,2339.27,129.43,350.89,7239.27,2026-05-03,CASH,DELTA,
ORD202605030000026,CUST004749,PROD00065,STORE0086,1,1789.18,64.25,89.46,1814.39,2026-05-03,CARD,DELTA,
ORD202605030000027,CUST004664,PROD00361,STORE0024,1,1923.77,96.56,96.19,1923.4,2026-05-03,UPI,DELTA,
ORD202605030000028,CUST001069,PROD00049,STORE0016,3,80.18,83.66,12.03,168.91,2026-05-03,NETBANKING,DELTA,
ORD202605030000029,CUST001564,PROD00355,STORE0061,2,617.19,95.41,61.72,1200.69,2026-05-03,UPI,DELTA,
ORD202605030000030,CUST000193,PROD00587,STORE0016,3,3767.53,109.04,565.13,11758.68,2026-05-03,CASH,DELTA,
ORD202605030000031,CUST001797,PROD00862,STORE0031,1,2313.19,63.55,115.66,2365.3,2026-05-03,CARD,DELTA,
ORD202605030000032,CUST004194,PROD00514,STORE0061,4,2746.64,153.95,549.33,11381.94,2026-05-03,NETBANKING,DELTA,
ORD202605030000033,CUST001948,PROD00161,STORE0021,1,2598.71,142.4,129.94,2586.25,2026-05-03,CASH,DELTA,
ORD202605030000034,CUST002243,PROD00417,STORE0100,1,3300.18,193.37,165.01,3271.82,2026-05-03,CASH,DELTA,
ORD202605030000035,CUST000087,PROD00735,STORE0084,5,3699.43,112.17,924.86,19309.84,2026-05-03,CASH,DELTA,
ORD202605030000036,CUST001648,PROD00466,STORE0038,4,282.52,123.49,56.5,1063.09,2026-05-03,CASH,DELTA,
ORD202605030000037,CUST002527,PROD00654,STORE0055,4,3108.92,73.68,621.78,12983.78,2026-05-03,NETBANKING,DELTA,
ORD202605030000038,CUST004433,PROD00322,STORE0017,4,3079.08,174.45,615.82,12757.69,2026-05-03,NETBANKING,DELTA,
ORD202605030000039,CUST002947,PROD00107,STORE0043,5,3379.54,174.21,844.89,17568.38,2026-05-03,CASH,DELTA,
ORD202605030000040,CUST002378,PROD00736,STORE0072,3,801.08,65.67,120.16,2457.73,2026-05-03,UPI,DELTA,
ORD202605030000041,CUST002130,PROD00248,STORE0045,5,2758.03,155.22,689.51,14324.44,2026-05-03,UPI,DELTA,
ORD202605030000042,CUST002197,PROD00932,STORE0027,3,1100.94,152.04,165.14,3315.92,2026-05-03,CARD,DELTA,
ORD202605030000043,CUST000359,PROD00488,STORE0056,3,4388.01,191.22,658.2,13631.01,2026-05-03,CARD,DELTA,
ORD202605030000044,CUST000724,PROD00274,STORE0067,4,4275.07,100.1,855.01,17855.19,2026-05-03,CASH,DELTA,
ORD202605030000045,CUST001785,PROD00717,STORE0019,5,4848.4,152.19,1212.1,25301.91,2026-05-03,UPI,DELTA,
ORD202605030000046,CUST000292,PROD00076,STORE0089,1,1529.7,198.35,76.48,1407.83,2026-05-03,NETBANKING,DELTA,
ORD202605030000047,CUST000047,PROD00824,STORE0078,5,2697.54,175.32,674.39,13986.77,2026-05-03,NETBANKING,DELTA,
ORD202605030000048,CUST002165,PROD00124,STORE0042,4,918.78,17.85,183.76,3841.03,2026-05-03,UPI,DELTA,
ORD202605030000049,CUST004024,PROD00693,STORE0009,2,3705.49,23.5,370.55,7758.03,2026-05-03,NETBANKING,DELTA,
ORD202605030000050,CUST000762,PROD00255,STORE0047,4,1619.83,52.15,323.97,6751.14,2026-05-03,CASH,DELTA,
ORD202605030000051,CUST003195,PROD00350,STORE0081,5,3524.26,67.8,881.07,18434.57,2026-05-03,CARD,DELTA,
ORD202605030000052,CUST001648,PROD00398,STORE0093,5,2697.66,135.07,674.41,14027.64,2026-05-03,NETBANKING,DELTA,
ORD202605030000053,CUST003769,PROD00611,STORE0048,3,957.65,73.51,143.65,2943.09,2026-05-03,NETBANKING,DELTA,
ORD202605030000054,CUST001835,PROD00956,STORE0048,5,2475.13,7.17,618.78,12987.26,2026-05-03,UPI,DELTA,
ORD202605030000055,CUST000214,PROD00282,STORE0018,4,4543.44,1.92,908.69,19080.53,2026-05-03,CASH,DELTA,
ORD202605030000056,CUST002721,PROD00586,STORE0030,4,4522.13,86.52,904.43,18906.43,2026-05-03,CARD,DELTA,
ORD202605030000057,CUST004714,PROD00990,STORE0012,4,881.72,66.96,176.34,3636.26,2026-05-03,UPI,DELTA,
ORD202605030000058,CUST003041,PROD00556,STORE0061,2,2381.86,129.91,238.19,4872.0,2026-05-03,CASH,DELTA,
ORD202605030000059,CUST001089,PROD00149,STORE0087,5,3410.91,184.43,852.73,17722.85,2026-05-03,UPI,DELTA,
ORD202605030000060,CUST003251,PROD00558,STORE0055,4,4205.24,193.28,841.05,17468.73,2026-05-03,CARD,DELTA,
ORD202605030000061,CUST004672,PROD00886,STORE0015,3,3422.55,11.85,513.38,10769.18,2026-05-03,UPI,DELTA,
ORD202605030000062,CUST000840,PROD00081,STORE0055,2,4080.42,165.15,408.04,8403.73,2026-05-03,CARD,DELTA,
ORD202605030000063,CUST004835,PROD00759,STORE0091,2,1268.55,154.11,126.86,2509.85,2026-05-03,CASH,DELTA,
ORD202605030000064,CUST004275,PROD00088,STORE0056,1,802.32,27.96,40.12,814.48,2026-05-03,CARD,DELTA,
ORD202605030000065,CUST002051,PROD00132,STORE0083,4,1680.69,183.34,336.14,6875.56,2026-05-03,NETBANKING,DELTA,
ORD202605030000066,CUST003824,PROD00532,STORE0009,5,311.77,144.7,77.94,1492.09,2026-05-03,CARD,DELTA,
ORD202605030000067,CUST000145,PROD00257,STORE0018,2,193.35,124.74,19.34,281.3,2026-05-03,NETBANKING,DELTA,
ORD202605030000068,CUST004334,PROD00062,STORE0003,2,3761.36,140.81,376.14,7758.05,2026-05-03,CASH,DELTA,
ORD202605030000069,CUST000129,PROD00868,STORE0078,3,961.61,196.34,144.24,2832.73,2026-05-03,NETBANKING,DELTA,
ORD202605030000070,CUST003811,PROD00486,STORE0054,4,4218.92,56.25,843.78,17663.21,2026-05-03,NETBANKING,DELTA,
ORD202605030000071,CUST003785,PROD00391,STORE0001,2,4171.98,156.04,417.2,8605.12,2026-05-03,UPI,DELTA,
ORD202605030000072,CUST002020,PROD00689,STORE0094,5,4141.13,79.77,1035.28,21661.16,2026-05-03,UPI,DELTA,
ORD202605030000073,CUST001925,PROD00664,STORE0063,3,3227.08,100.12,484.06,10065.18,2026-05-03,UPI,DELTA,
ORD202605030000074,CUST001414,PROD00027,STORE0019,5,694.6,40.04,173.65,3606.61,2026-05-03,CARD,DELTA,
ORD202605030000075,CUST003134,PROD00136,STORE0026,2,1212.38,81.87,121.24,2464.13,2026-05-03,CASH,DELTA,
ORD202605030000076,CUST004544,PROD00677,STORE0026,3,1970.0,87.72,295.5,6117.78,2026-05-03,CASH,DELTA,
ORD202605030000077,CUST000012,PROD00321,STORE0045,2,2825.08,17.89,282.51,5914.78,2026-05-03,NETBANKING,DELTA,
ORD202605030000078,CUST002354,PROD00127,STORE0006,1,1920.27,180.31,96.01,1835.97,2026-05-03,CASH,DELTA,
ORD202605030000079,CUST004397,PROD00936,STORE0078,2,3726.93,129.13,372.69,7697.42,2026-05-03,CARD,DELTA,
ORD202605030000080,CUST002245,PROD00981,STORE0049,1,2977.0,124.38,148.85,3001.47,2026-05-03,NETBANKING,DELTA,
ORD202605030000081,CUST000748,PROD00608,STORE0004,3,3896.12,175.95,584.42,12096.83,2026-05-03,UPI,DELTA,
ORD202605030000082,CUST003478,PROD00424,STORE0076,3,4000.51,50.58,600.08,12551.03,2026-05-03,CARD,DELTA,
ORD202605030000083,CUST002157,PROD00845,STORE0050,4,3020.25,151.86,604.05,12533.19,2026-05-03,CASH,DELTA,
ORD202605030000084,CUST004527,PROD00210,STORE0013,5,2927.2,68.3,731.8,15299.5,2026-05-03,NETBANKING,DELTA,
ORD202605030000085,CUST001882,PROD00069,STORE0037,3,2433.31,166.62,365.0,7498.31,2026-05-03,CASH,DELTA,
