order_id,customer_id,product_id,store_id,quantity,unit_price,discount_amount,tax_amount,sale_amount,sale_date,payment_method,load_type,sale_channel
ORD202605050000001,,PROD00419,STORE0010,1,1524.38,166.21,76.22,1434.39,2026-05-05,UPI,DELTA,APP
ORD202605050000002,CUST004321,PROD00715,STORE0071,1,1147.39,15.09,57.37,-500.0,2026-05-05,CASH,DELTA,APP
ORD202605050000003,CUST001065,PROD00097,STORE0036,0,4000.54,197.86,200.03,4002.71,2026-05-05,CASH,DELTA,APP
ORD202605050000004,CUST002378,PROD00569,STORE0078,2,1319.67,142.45,131.97,2628.86,2026-06-07,NETBANKING,DELTA,APP
ORD202605050000006,CUST002004,PROD00319,STORE0094,3,4915.11,70.36,737.27,15412.24,2026-05-05,CARD,DELTA,APP
ORD202605050000006,CUST001863,PROD00839,STORE0066,5,2298.35,184.35,574.59,11881.99,2026-05-05,CASH,DELTA,APP
ORD202605050000007,CUST001177,INVALID_PRODUCT,STORE0035,3,4700.34,146.33,705.05,14659.74,2026-05-05,CASH,DELTA,APP
ORD202605050000008,CUST001371,PROD00871,STORE0001,2,3465.28,175.39,346.53,7101.7,2026-05-05,UPI,DELTA,APP
ORD202605050000009,CUST001732,PROD00209,STORE0006,3,3782.98,49.38,567.45,11867.01,2026-05-05,UPI,DELTA,APP
ORD202605050000010,CUST004282,PROD00999,STORE0075,2,2208.28,30.24,220.83,4607.15,2026-05-05,UPI,DELTA,APP
ORD202605050000011,CUST000518,PROD00155,STORE0091,4,4441.05,76.86,888.21,18575.55,2026-05-05,NETBANKING,DELTA,APP
ORD202605050000012,CUST003777,PROD00740,STORE0086,1,3742.65,36.53,187.13,3893.25,2026-05-05,NETBANKING,DELTA,APP
ORD202605050000013,CUST001040,PROD00620,STORE0081,5,1632.48,64.17,408.12,8506.35,2026-05-05,UPI,DELTA,APP
ORD202605050000014,CUST002227,PROD00023,STORE0100,3,3224.99,38.99,483.75,10119.73,2026-05-05,CARD,DELTA,APP
ORD202605050000015,CUST001050,PROD00366,STORE0073,3,2558.54,117.96,383.78,7941.44,2026-05-05,CARD,DELTA,APP
ORD202605050000016,CUST002666,PROD00200,STORE0039,2,582.9,19.49,58.29,1204.6,2026-05-05,UPI,DELTA,APP
ORD202605050000017,CUST002271,PROD00647,STORE0043,1,4153.34,105.13,207.67,4255.88,2026-05-05,NETBANKING,DELTA,APP
ORD202605050000018,CUST000016,PROD00001,STORE0013,3,1839.8,138.03,275.97,5657.34,2026-05-05,CASH,DELTA,APP
ORD202605050000019,CUST000355,PROD00202,STORE0056,5,279.45,50.23,69.86,1416.88,2026-05-05,CARD,DELTA,APP
ORD202605050000020,CUST004068,PROD00974,STORE0068,2,1397.83,64.12,139.78,2871.32,2026-05-05,CARD,DELTA,APP
ORD202605050000021,CUST001358,PROD00630,STORE0041,1,2429.04,100.57,121.45,2449.92,2026-05-05,CASH,DELTA,APP
ORD202605050000022,CUST002179,PROD00183,STORE0065,4,1409.56,54.24,281.91,5865.91,2026-05-05,CASH,DELTA,APP
ORD202605050000023,CUST000741,PROD00643,STORE0014,2,2630.7,163.33,263.07,5361.14,2026-05-05,CASH,DELTA,APP
ORD202605050000024,CUST002710,PROD00441,STORE0086,5,3897.6,11.48,974.4,20450.92,2026-05-05,NETBANKING,DELTA,APP
ORD202605050000025,CUST002324,PROD00782,STORE0034,2,4859.05,178.99,485.91,10025.02,2026-05-05,UPI,DELTA,APP
ORD202605050000026,CUST003958,PROD00578,STORE0034,3,4602.02,13.19,690.3,14483.17,2026-05-05,CARD,DELTA,APP
ORD202605050000027,CUST004405,PROD00174,STORE0093,5,2633.95,38.14,658.49,13790.1,2026-05-05,CASH,DELTA,APP
ORD202605050000028,CUST000923,PROD00817,STORE0006,4,3307.99,14.31,661.6,13879.25,2026-05-05,CARD,DELTA,APP
ORD202605050000029,CUST002852,PROD00779,STORE0009,5,2745.45,24.3,686.36,14389.31,2026-05-05,UPI,DELTA,APP
ORD202605050000030,CUST003089,PROD00752,STORE0079,5,4269.45,139.41,1067.36,22275.2,2026-05-05,UPI,DELTA,APP
ORD202605050000031,CUST001972,PROD00578,STORE0037,4,1485.24,175.77,297.05,6062.24,2026-05-05,CARD,DELTA,APP
ORD202605050000032,CUST000325,PROD00866,STORE0060,4,4085.29,128.64,817.06,17029.58,2026-05-05,CARD,DELTA,APP
ORD202605050000033,CUST002322,PROD00310,STORE0038,4,1188.94,134.22,237.79,4859.33,2026-05-05,CASH,DELTA,APP
ORD202605050000034,CUST001649,PROD00735,STORE0077,2,2623.16,107.48,262.32,5401.16,2026-05-05,NETBANKING,DELTA,APP
ORD202605050000035,CUST001149,PROD00240,STORE0059,2,3316.44,154.01,331.64,6810.51,2026-05-05,CASH,DELTA,APP
ORD202605050000036,CUST001668,PROD00908,STORE0099,3,3870.3,162.13,580.55,12029.32,2026-05-05,NETBANKING,DELTA,APP
ORD202605050000037,CUST003845,PROD00881,STORE0099,1,1415.72,189.6,70.79,1296.91,2026-05-05,CASH,DELTA,APP
ORD202605050000038,CUST000787,PROD00035,STORE0056,4,1085.47,94.37,217.09,4464.6,2026-05-05,CARD,DELTA,APP
ORD202605050000039,CUST002487,PROD00533,STORE0018,4,1411.79,104.58,282.36,5824.94,2026-05-05,CARD,DELTA,APP
ORD202605050000040,CUST002734,PROD00881,STORE0047,2,2081.36,186.12,208.14,4184.74,2026-05-05,CASH,DELTA,APP
ORD202605050000041,CUST004061,PROD00365,STORE0066,1,1602.62,48.81,80.13,1633.94,2026-05-05,NETBANKING,DELTA,APP
ORD202605050000042,CUST004739,PROD00376,STORE0018,1,3604.96,127.26,180.25,3657.95,2026-05-05,UPI,DELTA,APP
ORD202605050000043,CUST004776,PROD00251,STORE0051,1,4376.28,24.18,218.81,4570.91,2026-05-05,CARD,DELTA,APP
ORD202605050000044,CUST004353,PROD00403,STORE0074,1,2047.0,194.75,102.35,1954.6,2026-05-05,CARD,DELTA,APP
ORD202605050000045,CUST000730,PROD00220,STORE0076,5,3741.02,21.89,935.25,19618.46,2026-05-05,CARD,DELTA,APP
ORD202605050000046,CUST000589,PROD00384,STORE0011,2,4122.17,62.35,412.22,8594.21,2026-05-05,CASH,DELTA,APP
ORD202605050000047,CUST001284,PROD00203,STORE0020,2,3089.22,69.14,308.92,6418.22,2026-05-05,NETBANKING,DELTA,APP
ORD202605050000048,CUST003948,PROD00005,STORE0001,2,3108.04,147.07,310.8,6379.81,2026-05-05,CASH,DELTA,APP
ORD202605050000049,CUST001897,PROD00893,STORE0054,4,1811.46,73.38,362.29,7534.75,2026-05-05,NETBANKING,DELTA,APP
ORD202605050000050,CUST002102,PROD00262,STORE0087,1,4124.96,89.22,206.25,4241.99,2026-05-05,UPI,DELTA,APP
ORD202605050000051,CUST003036,PROD00710,STORE0012,1,3197.08,119.59,159.85,3237.34,2026-05-05,CARD,DELTA,APP
ORD202605050000052,CUST003276,PROD00133,STORE0048,4,3967.07,80.98,793.41,16580.71,2026-05-05,CASH,DELTA,APP
ORD202605050000053,CUST003352,PROD00330,STORE0058,5,1031.76,167.89,257.94,5248.85,2026-05-05,UPI,DELTA,APP
ORD202605050000054,CUST003375,PROD00315,STORE0026,4,197.17,166.37,39.43,661.74,2026-05-05,CASH,DELTA,APP
ORD202605050000055,CUST000708,PROD00204,STORE0008,1,4979.5,36.97,248.98,5191.51,2026-05-05,CARD,DELTA,APP
ORD202605050000056,CUST001646,PROD00229,STORE0074,4,4017.73,8.47,803.55,16866.0,2026-05-05,CARD,DELTA,APP
ORD202605050000057,CUST003667,PROD00676,STORE0076,3,327.01,153.07,49.05,877.01,2026-05-05,UPI,DELTA,APP
ORD202605050000058,CUST000221,PROD00894,STORE0004,2,2574.06,104.77,257.41,5300.76,2026-05-05,CARD,DELTA,APP
ORD202605050000059,CUST002654,PROD00169,STORE0049,3,877.24,106.09,131.59,2657.22,2026-05-05,CASH,DELTA,APP
ORD202605050000060,CUST000018,PROD00088,STORE0087,5,1616.83,61.38,404.21,8426.98,2026-05-05,UPI,DELTA,APP
ORD202605050000061,CUST004103,PROD00839,STORE0056,1,4967.67,162.84,248.38,5053.21,2026-05-05,CARD,DELTA,APP
ORD202605050000062,CUST003478,PROD00237,STORE0030,3,3269.55,186.9,490.43,10112.18,2026-05-05,CASH,DELTA,APP
ORD202605050000063,CUST003384,PROD00673,STORE0038,4,4589.07,141.42,917.81,19132.67,2026-05-05,CARD,DELTA,APP
ORD202605050000064,CUST000141,PROD00537,STORE0044,3,1696.86,33.47,254.53,5311.64,2026-05-05,CASH,DELTA,APP
ORD202605050000065,CUST002287,PROD00431,STORE0029,2,4639.94,194.47,463.99,9549.4,2026-05-05,CARD,DELTA,APP
ORD202605050000066,CUST003932,PROD00890,STORE0046,3,1350.02,74.38,202.5,4178.18,2026-05-05,CASH,DELTA,APP
ORD202605050000067,CUST004787,PROD00644,STORE0049,3,1902.02,41.11,285.3,5950.25,2026-05-05,UPI,DELTA,APP
ORD202605050000068,CUST004633,PROD00334,STORE0090,1,4177.11,175.84,208.86,4210.13,2026-05-05,NETBANKING,DELTA,APP
ORD202605050000069,CUST003215,PROD00669,STORE0065,3,1233.0,17.18,184.95,3866.77,2026-05-05,CARD,DELTA,APP
ORD202605050000070,CUST000269,PROD00349,STORE0035,4,1207.37,158.25,241.47,4912.7,2026-05-05,CASH,DELTA,APP
ORD202605050000071,CUST002731,PROD00195,STORE0021,2,2712.66,106.17,271.27,5590.42,2026-05-05,NETBANKING,DELTA,APP
ORD202605050000072,CUST002367,PROD00794,STORE0085,5,1806.33,6.0,451.58,9477.23,2026-05-05,UPI,DELTA,APP
ORD202605050000073,CUST004113,PROD00524,STORE0072,5,1004.18,139.58,251.04,5132.36,2026-05-05,CASH,DELTA,APP
ORD202605050000074,CUST004543,PROD00481,STORE0010,3,2465.69,101.02,369.85,7665.9,2026-05-05,CARD,DELTA,APP
ORD202605050000075,CUST004229,PROD00437,STORE0040,1,1794.64,162.09,89.73,1722.28,2026-05-05,CARD,DELTA,APP
ORD202605050000076,CUST001532,PROD00089,STORE0053,1,3651.39,143.4,182.57,3690.56,2026-05-05,UPI,DELTA,APP
ORD202605050000077,CUST003778,PROD00775,STORE0036,5,1964.61,52.05,491.15,10262.15,2026-05-05,NETBANKING,DELTA,APP
ORD202605050000078,CUST001785,PROD00583,STORE0051,4,1598.83,147.6,319.77,6567.49,2026-05-05,UPI,DELTA,APP
ORD202605050000079,CUST002093,PROD00159,STORE0089,1,4795.4,69.83,239.77,4965.34,2026-05-05,UPI,DELTA,APP
ORD202605050000080,CUST002077,PROD00382,STORE0017,5,1705.02,194.71,426.26,8756.65,2026-05-05,NETBANKING,DELTA,APP
ORD202605050000081,CUST003244,PROD00374,STORE0003,2,1570.49,27.22,157.05,3270.81,2026-05-05,CARD,DELTA,APP
ORD202605050000082,CUST002789,PROD00342,STORE0014,3,2820.32,75.45,423.05,8808.56,2026-05-05,CASH,DELTA,APP
ORD202605050000083,CUST004932,PROD00613,STORE0085,4,4299.0,19.99,859.8,18035.81,2026-05-05,NETBANKING,DELTA,APP
ORD202605050000084,CUST001424,PROD00050,STORE0043,3,3471.27,76.27,520.69,10858.23,2026-05-05,UPI,DELTA,APP
ORD202605050000085,CUST003388,PROD00099,STORE0063,4,2819.5,8.18,563.9,11833.72,2026-05-05,CARD,DELTA,APP
ORD202605050000086,CUST000462,PROD00780,STORE0064,1,875.74,143.97,43.79,775.56,2026-05-05,UPI,DELTA,APP
ORD202605050000087,CUST000179,PROD00915,STORE0011,1,3708.1,125.74,185.41,3767.77,2026-05-05,UPI,DELTA,APP
ORD202605050000088,CUST003250,PROD00669,STORE0096,2,177.03,131.04,17.7,240.72,2026-05-05,CASH,DELTA,APP
ORD202605050000089,CUST002562,PROD00607,STORE0012,3,975.24,77.06,146.29,2994.95,2026-05-05,CARD,DELTA,APP
ORD202605050000090,CUST001024,PROD00496,STORE0068,3,217.37,127.77,32.61,556.95,2026-05-05,CARD,DELTA,APP
ORD202605050000091,CUST001932,PROD00660,STORE0016,5,3807.3,156.53,951.83,19831.8,2026-05-05,NETBANKING,DELTA,APP
ORD202605050000092,CUST004333,PROD00840,STORE0086,2,4113.44,89.19,411.34,8549.03,2026-05-05,UPI,DELTA,APP
ORD202605050000093,CUST002399,PROD00761,STORE0013,3,3691.5,165.11,553.73,11463.12,2026-05-05,UPI,DELTA,APP
ORD202605050000094,CUST003398,PROD00346,STORE0042,2,4951.85,142.71,495.19,10256.18,2026-05-05,CASH,DELTA,APP
ORD202605050000095,CUST003634,PROD00011,STORE0002,1,3850.4,142.62,192.52,3900.3,2026-05-05,CARD,DELTA,APP
ORD202605050000096,CUST001155,PROD00631,STORE0062,2,1753.02,81.92,175.3,3599.42,2026-05-05,CASH,DELTA,APP
ORD202605050000097,CUST004134,PROD00803,STORE0070,3,3365.96,157.44,504.89,10445.33,2026-05-05,CASH,DELTA,APP
ORD202605050000098,CUST004802,PROD00961,STORE0004,1,642.7,74.46,32.14,600.38,2026-05-05,CARD,DELTA,APP
ORD202605050000099,CUST000390,PROD00521,STORE0069,1,1384.19,39.03,69.21,1414.37,2026-05-05,UPI,DELTA,APP
