order_id,customer_id,product_id,store_id,quantity,unit_price,discount_amount,tax_amount,sale_amount,sale_date,payment_method,load_type
ORD202605060000001,,PROD00422,STORE0057,3,2307.54,43.53,346.13,7225.22,2026-05-06,NETBANKING,DELTA
ORD202605060000002,CUST001376,PROD00941,STORE0077,5,4629.42,5.19,1157.36,-500.0,2026-05-06,UPI,DELTA
ORD202605060000003,CUST003420,PROD00046,STORE0074,0,2811.3,117.58,421.7,8738.02,2026-05-06,CARD,DELTA
ORD202605060000004,CUST002112,PROD00499,STORE0048,3,2207.16,3.99,331.07,6948.56,2026-06-14,CASH,DELTA
ORD202605060000006,CUST004290,PROD00294,STORE0061,4,4830.43,103.57,966.09,20184.24,2026-05-06,CARD,DELTA
ORD202605060000006,CUST001297,PROD00360,STORE0018,4,1090.98,119.62,218.2,4462.5,2026-05-06,CASH,DELTA
ORD202605060000007,CUST002044,INVALID_PRODUCT,STORE0036,3,2079.4,99.17,311.91,6450.94,2026-05-06,UPI,DELTA
ORD202605060000008,CUST002894,PROD00798,STORE0083,3,173.95,163.42,26.09,ABC,2026-05-06,UPI,DELTA
ORD202605060000009,CUST002366,PROD00012,STORE0071,1,4952.65,126.05,247.63,5074.23,2026-05-06,NETBANKING,DELTA
ORD202605060000010,CUST003346,PROD00164,STORE0064,3,1477.82,131.11,221.67,4524.02,2026-05-06,UPI,DELTA
ORD202605060000011,CUST003464,PROD01000,STORE0011,3,4231.48,190.1,634.72,13139.06,2026-05-06,CARD,DELTA
ORD202605060000012,CUST004785,PROD00574,STORE0077,1,3254.78,163.2,162.74,3254.32,2026-05-06,UPI,DELTA
ORD202605060000013,CUST004419,PROD00944,STORE0077,4,3926.18,118.27,785.24,16371.69,2026-05-06,CASH,DELTA
ORD202605060000014,CUST004671,PROD00100,STORE0085,2,495.69,67.96,49.57,972.99,2026-05-06,UPI,DELTA
ORD202605060000015,CUST001371,PROD00551,STORE0100,4,2914.2,169.26,582.84,12070.38,2026-05-06,NETBANKING,DELTA
