store_id,store_name,city,state,region,created_date,load_type
,Sarna PLC,Nanded,Telangana,East,2026-05-01,FULL
STORE0002,Mohan-Nayar,Mango,Mizoram,UNKNOWN_REGION,2026-05-01,FULL
STORE0003,Hayre-Acharya,Muzaffarnagar,Punjab,North,2026-05-01,FULL
STORE0004,"Taneja, Tella and Baral",Baranagar,Maharashtra,West,2026-05-01,FULL
STORE0005,Mohanty-Chahal,Hosur,Rajasthan,South,2026-05-01,FULL
STORE0006,"Modi, Vaidya and Sur",Madanapalle,Tamil Nadu,East,2026-05-01,FULL
STORE0007,Gokhale Inc,Amaravati,Chhattisgarh,East,2026-05-01,FULL
STORE0008,Radhakrishnan PLC,Orai,Meghalaya,West,2026-05-01,FULL
STORE0009,Jhaveri Group,Serampore,Telangana,East,2026-05-01,FULL
STORE0010,Wali-Pillai,Khammam,Meghalaya,North,2026-05-01,FULL
STORE0011,"Raju, Nair and Kala",Adoni,Chhattisgarh,West,2026-05-01,FULL
STORE0012,Sahota-Mani,Surat,Mizoram,North,2026-05-01,FULL
STORE0013,Kapadia and Sons,Malegaon,Kerala,South,2026-05-01,FULL
STORE0014,Prabhakar-Bahl,Aurangabad,Chhattisgarh,East,2026-05-01,FULL
STORE0015,Sama Group,Mathura,Tamil Nadu,East,2026-05-01,FULL
STORE0016,Aggarwal-Mand,Uluberia,Telangana,North,2026-05-01,FULL
STORE0017,"Sawhney, Kata and Chaudhari",Jehanabad,Chhattisgarh,West,2026-05-01,FULL
STORE0018,"Samra, Sami and Goel",Nizamabad,Meghalaya,West,2026-05-01,FULL
STORE0019,Sangha-Agate,Miryalaguda,Chhattisgarh,East,2026-05-01,FULL
STORE0020,"Thakkar, Bhargava and Srivastava",Ghaziabad,Arunachal Pradesh,North,2026-05-01,FULL
STORE0021,Kumer LLC,Darbhanga,Bihar,South,2026-05-01,FULL
STORE0022,"Sharaf, Khatri and Ramachandran",Madanapalle,Haryana,North,2026-05-01,FULL
STORE0023,"Kapur, Jain and Korpal",Thiruvananthapuram,Mizoram,West,2026-05-01,FULL
STORE0024,Sanghvi-Vala,Suryapet,Telangana,East,2026-05-01,FULL
STORE0025,Vig-Wagle,Hapur,Mizoram,East,2026-05-01,FULL
STORE0026,Sem and Sons,Siwan,Bihar,East,2026-05-01,FULL
STORE0027,Pall-Gole,Kulti,Karnataka,South,2026-05-01,FULL
STORE0028,Swaminathan Ltd,Nangloi Jat,Nagaland,South,2026-05-01,FULL
STORE0029,Kaul-Parsa,Raipur,Odisha,West,2026-05-01,FULL
STORE0030,"Virk, Bakshi and Puri",Kavali,Madhya Pradesh,North,2026-05-01,FULL
STORE0031,Hegde and Sons,Belgaum,Punjab,North,2026-05-01,FULL
STORE0032,"Panchal, Bhandari and Rana",Jamnagar,Telangana,North,2026-05-01,FULL
STORE0033,Rege Ltd,Udaipur,Nagaland,South,2026-05-01,FULL
STORE0034,Bhalla Group,Gandhidham,Manipur,East,2026-05-01,FULL
STORE0035,"Sawhney, Yohannan and Sachdev",Berhampur,Tamil Nadu,West,2026-05-01,FULL
STORE0036,"Subramaniam, Borra and Walia",Narasaraopet,Arunachal Pradesh,West,2026-05-01,FULL
STORE0037,Sarma-Lanka,Orai,Uttar Pradesh,South,2026-05-01,FULL
STORE0038,"Kari, Kalla and Bali",Thrissur,Tamil Nadu,South,2026-05-01,FULL
STORE0039,Mand-Basak,Sangli-Miraj & Kupwad,Himachal Pradesh,East,2026-05-01,FULL
STORE0040,Rama Inc,Noida,Haryana,East,2026-05-01,FULL
STORE0041,Mammen PLC,Panchkula,Gujarat,South,2026-05-01,FULL
STORE0042,Palla-Chopra,Medininagar,Bihar,West,2026-05-01,FULL
STORE0043,"Yadav, Rege and Ramaswamy",Rajpur Sonarpur,Chhattisgarh,East,2026-05-01,FULL
STORE0044,"Mitra, Bail and Ratta",Bharatpur,Meghalaya,East,2026-05-01,FULL
STORE0045,Lalla Group,Kurnool,Punjab,West,2026-05-01,FULL
STORE0046,"Pall, Soni and Din",Nagaon,Karnataka,East,2026-05-01,FULL
STORE0047,Apte Group,Begusarai,Sikkim,West,2026-05-01,FULL
STORE0048,"Mistry, Karan and Trivedi",Loni,Tripura,North,2026-05-01,FULL
STORE0049,Bala PLC,Raebareli,Sikkim,East,2026-05-01,FULL
STORE0050,"Dyal, Loyal and Munshi",Khammam,Assam,East,2026-05-01,FULL
STORE0051,Balakrishnan-Mukherjee,Rajahmundry,Kerala,North,2026-05-01,FULL
STORE0052,"Sura, Prasad and Mahajan",Baranagar,Uttar Pradesh,West,2026-05-01,FULL
STORE0053,Keer-Raj,Tadipatri,Odisha,East,2026-05-01,FULL
STORE0054,Chaudhry-Bhat,Panchkula,Telangana,North,2026-05-01,FULL
STORE0055,"Saxena, Shan and Dhar",Nanded,Chhattisgarh,West,2026-05-01,FULL
STORE0056,"Sanghvi, Mohanty and Radhakrishnan",North Dumdum,Haryana,East,2026-05-01,FULL
STORE0057,Bandi Inc,Mehsana,Andhra Pradesh,South,2026-05-01,FULL
